shard_id,projection_id,hf_module_path,sim_module_path,sim_layer,target_gpt2_block,qkv_component,sim_input_start,sim_input_end,sim_output_start,sim_output_end,canonical_row_start,canonical_row_end,canonical_col_start,canonical_col_end,tile_id,tier_id,policy,placement_seed,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score
decoder_stack.layers.0.v_proj_in#r1c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.v_proj_in,0,0,V,512,768,0,512,1536,2048,512,768,27,5,random,42,131072,1769472,0.07407407407407407,0.11981992250334841
decoder_stack.layers.0.v_proj_in#r1c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.v_proj_in,0,0,V,512,768,512,768,2048,2304,512,768,28,5,random,42,65536,1769472,0.037037037037037035,0.11981992250334841
decoder_stack.layers.0.q_proj_out#r0c0,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.q_proj_out,0,1,Q,0,512,0,512,0,512,0,512,10,6,random,42,262144,1769472,0.14814814814814814,0.05735656252573022
decoder_stack.layers.0.q_proj_out#r0c1,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.q_proj_out,0,1,Q,0,512,512,768,512,768,0,512,11,6,random,42,131072,1769472,0.07407407407407407,0.05735656252573022
decoder_stack.layers.0.q_proj_out#r1c0,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.q_proj_out,0,1,Q,512,768,0,512,0,512,512,768,12,6,random,42,131072,1769472,0.07407407407407407,0.05735656252573022
decoder_stack.layers.0.q_proj_out#r1c1,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.q_proj_out,0,1,Q,512,768,512,768,512,768,512,768,13,6,random,42,65536,1769472,0.037037037037037035,0.05735656252573022
decoder_stack.layers.0.k_proj_out#r0c0,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.k_proj_out,0,1,K,0,512,0,512,768,1280,0,512,5,0,random,42,262144,1769472,0.14814814814814814,0.05735656252573022
decoder_stack.layers.0.k_proj_out#r0c1,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.k_proj_out,0,1,K,0,512,512,768,1280,1536,0,512,6,0,random,42,131072,1769472,0.07407407407407407,0.05735656252573022
decoder_stack.layers.0.k_proj_out#r1c0,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.k_proj_out,0,1,K,512,768,0,512,768,1280,512,768,8,0,random,42,131072,1769472,0.07407407407407407,0.05735656252573022
decoder_stack.layers.0.k_proj_out#r1c1,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.k_proj_out,0,1,K,512,768,512,768,1280,1536,512,768,9,0,random,42,65536,1769472,0.037037037037037035,0.05735656252573022
decoder_stack.layers.0.v_proj_out#r0c0,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.v_proj_out,0,1,V,0,512,0,512,1536,2048,0,512,14,5,random,42,262144,1769472,0.14814814814814814,0.05735656252573022
decoder_stack.layers.0.v_proj_out#r0c1,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.v_proj_out,0,1,V,0,512,512,768,2048,2304,0,512,16,5,random,42,131072,1769472,0.07407407407407407,0.05735656252573022
decoder_stack.layers.0.v_proj_out#r1c0,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.v_proj_out,0,1,V,512,768,0,512,1536,2048,512,768,17,5,random,42,131072,1769472,0.07407407407407407,0.05735656252573022
decoder_stack.layers.0.v_proj_out#r1c1,block_1/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.v_proj_out,0,1,V,512,768,512,768,2048,2304,512,768,19,5,random,42,65536,1769472,0.037037037037037035,0.05735656252573022
decoder_stack.layers.0.out_proj#r0c0,block_0/attn.c_proj,transformer.h.0.attn.c_proj,decoder_stack.layers.0.out_proj,0,0,,0,512,0,512,0,512,0,512,25,2,random,42,262144,589824,0.4444444444444444,11.350339747763249
decoder_stack.layers.0.out_proj#r0c1,block_0/attn.c_proj,transformer.h.0.attn.c_proj,decoder_stack.layers.0.out_proj,0,0,,0,512,512,768,512,768,0,512,26,2,random,42,131072,589824,0.2222222222222222,11.350339747763249
decoder_stack.layers.0.out_proj#r1c0,block_0/attn.c_proj,transformer.h.0.attn.c_proj,decoder_stack.layers.0.out_proj,0,0,,512,768,0,512,0,512,512,768,27,2,random,42,131072,589824,0.2222222222222222,11.350339747763249
decoder_stack.layers.0.out_proj#r1c1,block_0/attn.c_proj,transformer.h.0.attn.c_proj,decoder_stack.layers.0.out_proj,0,0,,512,768,512,768,512,768,512,768,28,2,random,42,65536,589824,0.1111111111111111,11.350339747763249
decoder_stack.layers.0.ffn1#r0c0,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,0,512,0,512,0,512,0,512,49,4,random,42,262144,2359296,0.1111111111111111,0.2156455889038142
decoder_stack.layers.0.ffn1#r0c1,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,0,512,512,1024,512,1024,0,512,18,4,random,42,262144,2359296,0.1111111111111111,0.2156455889038142
decoder_stack.layers.0.ffn1#r0c2,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,0,512,1024,1536,1024,1536,0,512,30,4,random,42,262144,2359296,0.1111111111111111,0.2156455889038142
decoder_stack.layers.0.ffn1#r0c3,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,0,512,1536,2048,1536,2048,0,512,46,4,random,42,262144,2359296,0.1111111111111111,0.2156455889038142
decoder_stack.layers.0.ffn1#r0c4,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,0,512,2048,2560,2048,2560,0,512,7,1,random,42,262144,2359296,0.1111111111111111,0.2156455889038142
decoder_stack.layers.0.ffn1#r0c5,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,0,512,2560,3072,2560,3072,0,512,20,1,random,42,262144,2359296,0.1111111111111111,0.2156455889038142
decoder_stack.layers.0.ffn1#r1c0,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,512,768,0,512,0,512,512,768,15,1,random,42,131072,2359296,0.05555555555555555,0.2156455889038142
decoder_stack.layers.0.ffn1#r1c1,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,512,768,512,1024,512,1024,512,768,33,1,random,42,131072,2359296,0.05555555555555555,0.2156455889038142
decoder_stack.layers.0.ffn1#r1c2,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,512,768,1024,1536,1024,1536,512,768,52,1,random,42,131072,2359296,0.05555555555555555,0.2156455889038142
decoder_stack.layers.0.ffn1#r1c3,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,512,768,1536,2048,1536,2048,512,768,4,1,random,42,131072,2359296,0.05555555555555555,0.2156455889038142
decoder_stack.layers.0.ffn1#r1c4,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,512,768,2048,2560,2048,2560,512,768,36,1,random,42,131072,2359296,0.05555555555555555,0.2156455889038142
decoder_stack.layers.0.ffn1#r1c5,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,0,,512,768,2560,3072,2560,3072,512,768,42,1,random,42,131072,2359296,0.05555555555555555,0.2156455889038142
decoder_stack.layers.0.ffn2#r0c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,0,512,0,512,0,512,0,512,40,1,random,42,262144,2359296,0.1111111111111111,4.496658314707527
decoder_stack.layers.0.ffn2#r0c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,0,512,512,768,512,768,0,512,41,1,random,42,131072,2359296,0.05555555555555555,4.496658314707527
decoder_stack.layers.0.ffn2#r1c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,512,1024,0,512,0,512,512,1024,43,1,random,42,262144,2359296,0.1111111111111111,4.496658314707527
decoder_stack.layers.0.ffn2#r1c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,512,1024,512,768,512,768,512,1024,44,1,random,42,131072,2359296,0.05555555555555555,4.496658314707527
decoder_stack.layers.0.ffn2#r2c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,1024,1536,0,512,0,512,1024,1536,45,1,random,42,262144,2359296,0.1111111111111111,4.496658314707527
decoder_stack.layers.0.ffn2#r2c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,1024,1536,512,768,512,768,1024,1536,47,1,random,42,131072,2359296,0.05555555555555555,4.496658314707527
decoder_stack.layers.0.ffn2#r3c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,1536,2048,0,512,0,512,1536,2048,48,1,random,42,262144,2359296,0.1111111111111111,4.496658314707527
decoder_stack.layers.0.ffn2#r3c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,1536,2048,512,768,512,768,1536,2048,50,1,random,42,131072,2359296,0.05555555555555555,4.496658314707527
decoder_stack.layers.0.ffn2#r4c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,2048,2560,0,512,0,512,2048,2560,51,1,random,42,262144,2359296,0.1111111111111111,4.496658314707527
decoder_stack.layers.0.ffn2#r4c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,2048,2560,512,768,512,768,2048,2560,53,1,random,42,131072,2359296,0.05555555555555555,4.496658314707527
decoder_stack.layers.0.ffn2#r5c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,2560,3072,0,512,0,512,2560,3072,54,1,random,42,262144,2359296,0.1111111111111111,4.496658314707527
decoder_stack.layers.0.ffn2#r5c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,0,,2560,3072,512,768,512,768,2560,3072,55,1,random,42,131072,2359296,0.05555555555555555,4.496658314707527
decoder_stack.layers.1.q_proj_out#r0c0,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.q_proj_out,1,2,Q,0,512,0,512,0,512,0,512,40,2,random,42,262144,1769472,0.14814814814814814,1.7787354935574413
decoder_stack.layers.1.q_proj_out#r0c1,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.q_proj_out,1,2,Q,0,512,512,768,512,768,0,512,41,2,random,42,131072,1769472,0.07407407407407407,1.7787354935574413
decoder_stack.layers.1.q_proj_out#r1c0,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.q_proj_out,1,2,Q,512,768,0,512,0,512,512,768,43,2,random,42,131072,1769472,0.07407407407407407,1.7787354935574413
decoder_stack.layers.1.q_proj_out#r1c1,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.q_proj_out,1,2,Q,512,768,512,768,512,768,512,768,44,2,random,42,65536,1769472,0.037037037037037035,1.7787354935574413
decoder_stack.layers.1.k_proj_out#r0c0,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.k_proj_out,1,2,K,0,512,0,512,768,1280,0,512,68,2,random,42,262144,1769472,0.14814814814814814,1.7787354935574413
decoder_stack.layers.1.k_proj_out#r0c1,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.k_proj_out,1,2,K,0,512,512,768,1280,1536,0,512,69,2,random,42,131072,1769472,0.07407407407407407,1.7787354935574413
decoder_stack.layers.1.k_proj_out#r1c0,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.k_proj_out,1,2,K,512,768,0,512,768,1280,512,768,70,2,random,42,131072,1769472,0.07407407407407407,1.7787354935574413
decoder_stack.layers.1.k_proj_out#r1c1,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.k_proj_out,1,2,K,512,768,512,768,1280,1536,512,768,71,2,random,42,65536,1769472,0.037037037037037035,1.7787354935574413
decoder_stack.layers.1.v_proj_out#r0c0,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.v_proj_out,1,2,V,0,512,0,512,1536,2048,0,512,35,5,random,42,262144,1769472,0.14814814814814814,1.7787354935574413
decoder_stack.layers.1.v_proj_out#r0c1,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.v_proj_out,1,2,V,0,512,512,768,2048,2304,0,512,37,5,random,42,131072,1769472,0.07407407407407407,1.7787354935574413
decoder_stack.layers.1.v_proj_out#r1c0,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.v_proj_out,1,2,V,512,768,0,512,1536,2048,512,768,38,5,random,42,131072,1769472,0.07407407407407407,1.7787354935574413
decoder_stack.layers.1.v_proj_out#r1c1,block_2/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.v_proj_out,1,2,V,512,768,512,768,2048,2304,512,768,39,5,random,42,65536,1769472,0.037037037037037035,1.7787354935574413
decoder_stack.layers.1.out_proj#r0c0,block_1/attn.c_proj,transformer.h.1.attn.c_proj,decoder_stack.layers.1.out_proj,1,1,,0,512,0,512,0,512,0,512,14,4,random,42,262144,589824,0.4444444444444444,0.3935577137229167
decoder_stack.layers.1.out_proj#r0c1,block_1/attn.c_proj,transformer.h.1.attn.c_proj,decoder_stack.layers.1.out_proj,1,1,,0,512,512,768,512,768,0,512,16,4,random,42,131072,589824,0.2222222222222222,0.3935577137229167
decoder_stack.layers.1.out_proj#r1c0,block_1/attn.c_proj,transformer.h.1.attn.c_proj,decoder_stack.layers.1.out_proj,1,1,,512,768,0,512,0,512,512,768,17,4,random,42,131072,589824,0.2222222222222222,0.3935577137229167
decoder_stack.layers.1.out_proj#r1c1,block_1/attn.c_proj,transformer.h.1.attn.c_proj,decoder_stack.layers.1.out_proj,1,1,,512,768,512,768,512,768,512,768,19,4,random,42,65536,589824,0.1111111111111111,0.3935577137229167
decoder_stack.layers.1.ffn1#r0c0,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,0,512,0,512,0,512,0,512,40,5,random,42,262144,2359296,0.1111111111111111,1.290026538938735
decoder_stack.layers.1.ffn1#r0c1,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,0,512,512,1024,512,1024,0,512,41,5,random,42,262144,2359296,0.1111111111111111,1.290026538938735
decoder_stack.layers.1.ffn1#r0c2,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,0,512,1024,1536,1024,1536,0,512,43,5,random,42,262144,2359296,0.1111111111111111,1.290026538938735
decoder_stack.layers.1.ffn1#r0c3,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,0,512,1536,2048,1536,2048,0,512,44,5,random,42,262144,2359296,0.1111111111111111,1.290026538938735
decoder_stack.layers.1.ffn1#r0c4,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,0,512,2048,2560,2048,2560,0,512,45,5,random,42,262144,2359296,0.1111111111111111,1.290026538938735
decoder_stack.layers.1.ffn1#r0c5,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,0,512,2560,3072,2560,3072,0,512,47,5,random,42,262144,2359296,0.1111111111111111,1.290026538938735
decoder_stack.layers.1.ffn1#r1c0,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,512,768,0,512,0,512,512,768,48,5,random,42,131072,2359296,0.05555555555555555,1.290026538938735
decoder_stack.layers.1.ffn1#r1c1,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,512,768,512,1024,512,1024,512,768,50,5,random,42,131072,2359296,0.05555555555555555,1.290026538938735
decoder_stack.layers.1.ffn1#r1c2,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,512,768,1024,1536,1024,1536,512,768,51,5,random,42,131072,2359296,0.05555555555555555,1.290026538938735
decoder_stack.layers.1.ffn1#r1c3,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,512,768,1536,2048,1536,2048,512,768,53,5,random,42,131072,2359296,0.05555555555555555,1.290026538938735
decoder_stack.layers.1.ffn1#r1c4,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,512,768,2048,2560,2048,2560,512,768,54,5,random,42,131072,2359296,0.05555555555555555,1.290026538938735
decoder_stack.layers.1.ffn1#r1c5,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,1,,512,768,2560,3072,2560,3072,512,768,55,5,random,42,131072,2359296,0.05555555555555555,1.290026538938735
decoder_stack.layers.1.ffn2#r0c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,0,512,0,512,0,512,0,512,14,6,random,42,262144,2359296,0.1111111111111111,1.2110609606543832
decoder_stack.layers.1.ffn2#r0c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,0,512,512,768,512,768,0,512,16,6,random,42,131072,2359296,0.05555555555555555,1.2110609606543832
decoder_stack.layers.1.ffn2#r1c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,512,1024,0,512,0,512,512,1024,17,6,random,42,262144,2359296,0.1111111111111111,1.2110609606543832
decoder_stack.layers.1.ffn2#r1c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,512,1024,512,768,512,768,512,1024,19,6,random,42,131072,2359296,0.05555555555555555,1.2110609606543832
decoder_stack.layers.1.ffn2#r2c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,1024,1536,0,512,0,512,1024,1536,21,6,random,42,262144,2359296,0.1111111111111111,1.2110609606543832
decoder_stack.layers.1.ffn2#r2c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,1024,1536,512,768,512,768,1024,1536,22,6,random,42,131072,2359296,0.05555555555555555,1.2110609606543832
decoder_stack.layers.1.ffn2#r3c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,1536,2048,0,512,0,512,1536,2048,23,6,random,42,262144,2359296,0.1111111111111111,1.2110609606543832
decoder_stack.layers.1.ffn2#r3c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,1536,2048,512,768,512,768,1536,2048,24,6,random,42,131072,2359296,0.05555555555555555,1.2110609606543832
decoder_stack.layers.1.ffn2#r4c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,2048,2560,0,512,0,512,2048,2560,25,6,random,42,262144,2359296,0.1111111111111111,1.2110609606543832
decoder_stack.layers.1.ffn2#r4c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,2048,2560,512,768,512,768,2048,2560,26,6,random,42,131072,2359296,0.05555555555555555,1.2110609606543832
decoder_stack.layers.1.ffn2#r5c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,2560,3072,0,512,0,512,2560,3072,27,6,random,42,262144,2359296,0.1111111111111111,1.2110609606543832
decoder_stack.layers.1.ffn2#r5c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,1,,2560,3072,512,768,512,768,2560,3072,28,6,random,42,131072,2359296,0.05555555555555555,1.2110609606543832
decoder_stack.layers.2.q_proj_out#r0c0,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.q_proj_out,2,3,Q,0,512,0,512,0,512,0,512,49,6,random,42,262144,1769472,0.14814814814814814,0.6515651177712506
decoder_stack.layers.2.q_proj_out#r0c1,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.q_proj_out,2,3,Q,0,512,512,768,512,768,0,512,18,6,random,42,131072,1769472,0.07407407407407407,0.6515651177712506
decoder_stack.layers.2.q_proj_out#r1c0,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.q_proj_out,2,3,Q,512,768,0,512,0,512,512,768,30,6,random,42,131072,1769472,0.07407407407407407,0.6515651177712506
decoder_stack.layers.2.q_proj_out#r1c1,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.q_proj_out,2,3,Q,512,768,512,768,512,768,512,768,46,6,random,42,65536,1769472,0.037037037037037035,0.6515651177712506
decoder_stack.layers.2.k_proj_out#r0c0,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.k_proj_out,2,3,K,0,512,0,512,768,1280,0,512,29,0,random,42,262144,1769472,0.14814814814814814,0.6515651177712506
decoder_stack.layers.2.k_proj_out#r0c1,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.k_proj_out,2,3,K,0,512,512,768,1280,1536,0,512,31,0,random,42,131072,1769472,0.07407407407407407,0.6515651177712506
decoder_stack.layers.2.k_proj_out#r1c0,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.k_proj_out,2,3,K,512,768,0,512,768,1280,512,768,32,0,random,42,131072,1769472,0.07407407407407407,0.6515651177712506
decoder_stack.layers.2.k_proj_out#r1c1,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.k_proj_out,2,3,K,512,768,512,768,1280,1536,512,768,34,0,random,42,65536,1769472,0.037037037037037035,0.6515651177712506
decoder_stack.layers.2.v_proj_out#r0c0,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.v_proj_out,2,3,V,0,512,0,512,1536,2048,0,512,56,5,random,42,262144,1769472,0.14814814814814814,0.6515651177712506
decoder_stack.layers.2.v_proj_out#r0c1,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.v_proj_out,2,3,V,0,512,512,768,2048,2304,0,512,57,5,random,42,131072,1769472,0.07407407407407407,0.6515651177712506
decoder_stack.layers.2.v_proj_out#r1c0,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.v_proj_out,2,3,V,512,768,0,512,1536,2048,512,768,58,5,random,42,131072,1769472,0.07407407407407407,0.6515651177712506
decoder_stack.layers.2.v_proj_out#r1c1,block_3/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.v_proj_out,2,3,V,512,768,512,768,2048,2304,512,768,59,5,random,42,65536,1769472,0.037037037037037035,0.6515651177712506
decoder_stack.layers.2.out_proj#r0c0,block_2/attn.c_proj,transformer.h.2.attn.c_proj,decoder_stack.layers.2.out_proj,2,2,,0,512,0,512,0,512,0,512,49,1,random,42,262144,589824,0.4444444444444444,0.14741466404128117
decoder_stack.layers.2.out_proj#r0c1,block_2/attn.c_proj,transformer.h.2.attn.c_proj,decoder_stack.layers.2.out_proj,2,2,,0,512,512,768,512,768,0,512,18,1,random,42,131072,589824,0.2222222222222222,0.14741466404128117
decoder_stack.layers.2.out_proj#r1c0,block_2/attn.c_proj,transformer.h.2.attn.c_proj,decoder_stack.layers.2.out_proj,2,2,,512,768,0,512,0,512,512,768,30,1,random,42,131072,589824,0.2222222222222222,0.14741466404128117
decoder_stack.layers.2.out_proj#r1c1,block_2/attn.c_proj,transformer.h.2.attn.c_proj,decoder_stack.layers.2.out_proj,2,2,,512,768,512,768,512,768,512,768,46,1,random,42,65536,589824,0.1111111111111111,0.14741466404128117
