projection_id,role,block_index,sensitivity_isolated,sensitivity_loo_mean,sensitivity_loo_std,sensitivity_loo_sem
block_8/attn.c_attn,attn.c_attn,8,0.004829489056465431,0.003357009498440444,0.001213273375357067,0.000542592348517804
block_8/attn.c_proj,attn.c_proj,8,0.0005010762822971415,0.00027465722998787356,0.0004904574492319146,0.0002193392393107426
block_8/mlp.c_fc,mlp.c_fc,8,0.0025735354717868475,0.0020581011869468925,0.00032041735521267127,0.0001432949974852459
block_8/mlp.c_proj,mlp.c_proj,8,0.0015375180499544784,0.0008719395618048686,0.0006218741849001927,0.0002781105901778208
block_9/attn.c_attn,attn.c_attn,9,0.0031753508642379026,0.002177395625990108,0.0005765258271322688,0.0002578301880504091
block_9/attn.c_proj,attn.c_proj,9,0.00046556996710478415,0.0005878049500134264,0.0003349622941631153,0.00014979969192960136
block_9/mlp.c_fc,mlp.c_fc,9,0.0014944572017027368,0.001571845521732218,0.0007303381094410418,0.00032661713185377006
block_9/mlp.c_proj,mlp.c_proj,9,0.0012698401148919735,0.0009503753817811323,0.0005796465815081937,0.0002592258318355387
block_10/attn.c_attn,attn.c_attn,10,0.002228100211532169,0.0010713280463704234,0.0006129707218603117,0.0002741288404593546
block_10/attn.c_proj,attn.c_proj,10,0.00045457945929614494,0.0004412835958051975,0.0009178870693293986,0.0004104915765377195
block_10/mlp.c_fc,mlp.c_fc,10,0.0014611471827629785,0.0012430755459531095,0.0010114018008792608,0.00045231263586634673
block_10/mlp.c_proj,mlp.c_proj,10,0.0010947380536869388,0.001109338293270179,0.000925489563622633,0.00041389151534536474
block_11/attn.c_attn,attn.c_attn,11,0.00011282153580909338,0.0013086747150031109,0.0006073021435011358,0.0002715937751499743
block_11/attn.c_proj,attn.c_proj,11,0.0012642764260247575,0.0013647950425439426,0.0010165470786765076,0.0004546136740498996
block_11/mlp.c_fc,mlp.c_fc,11,0.003141620914631815,0.00117901782600236,0.0012546912699681338,0.0005611149940848575
block_11/mlp.c_proj,mlp.c_proj,11,0.000596551934387346,0.0011406971483812977,0.0005378185936324635,0.0002405197869851048
lm_head,lm_head,,0.06067240248001138,0.03767247637923874,0.0018262898216781002,0.0008167416375776402
